"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	14	0				0	9	0		1							0	0	0	0			0	0	0	0	8	0			0	0	0	0	0	0	0	0				0	12	0	2	
242	0	0	0	0	0	0	2	0				0	2	0		0				0		0	0	0	0	1			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	1	
279	0	0	0	0	0	0	12	0				2	43	0		19				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				24	10	0	0	
354	0	0	0	0	0	0	13	12				1	13	13		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
457	0	26	0	0	0	0	34	0				0	17	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	17	8	
505	0	0	0	0	0	0	38	0				1	70	0		4				0		0	0	0	0	33			0	0	0	0	0	0			0	0	0	0	0	0	0	0				61	3	5	1	
1155	0	0	0	0	0	0	129	122				5	536	512		16							0	0	0	0			1	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	7	2	
1351	0	0	0	0	0	0	55	13				0	328	123		2				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				94	21	109	21	
1454	0	0	0	0	0	0	18	2				12	50	0		47				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	3	3	
