"IDRSSD"	RCFDS483	RCFDS484	RCFDS485	RCFDS486	RCFDS487	RCFDS488	RCFDS489	RCFDS490	RCFDS491	RCFDS492	RCFDS493	RCFDS494	RCFDS495	RCFDS496	RCFDS497	RCFDS498	RCFDS499	RCFDS500	RCFDS503	RCFDS504	RCFDS505	RCFDS506	RCFDS507	RCFDS510	RCFDS511	RCFDS512	RCFDS513	RCFDS514	RCFDS515	RCFDS516	RCFDS517	RCFDS518	RCFDS519	RCFDS520	RCFDS521	RCFDS522	RCFDS523	RCFDS524	RCFDS525	RCFDS526	RCFDS527	RCFDS528	RCFDS529	RCFDS530	RCFDS531	RCFDS539	RCFDS540	RCFDS541	RCFDS542	RCFDS543	RCFDS544	RCFDS545	RCFDS546	RCFDS547	RCFDS548	RCFDS549	RCFDS550	RCFDS551	RCFDS552	RCFDS554	RCFDS555	RCFDS556	RCFDS557	RCFDS558	RCFDS559	RCFDS560	RCFDS561	RCFDS562	RCFDS563	RCFDS564	RCFDS565	RCFDS566	RCFDS567	RCFDS568	RCFDS569	RCFDS570	RCFDS571	RCFDS572	RCFDS573	RCFDS574	RCFDS575	RCFDS576	RCFDS577	RCFDS578	RCFDS579	RCFDS580	RCFDS581	RCFDS582	RCFDS583	RCFDS584	RCFDS585	RCFDS586	RCFDS587	RCFDS588	RCFDS589	RCFDS590	RCFDS591	RCFDS592	RCFDS593	RCFDS594	RCFDS595	RCFDS596	RCFDS597	RCFDS598	RCFDS599	RCFDS600	RCFDS601	RCFDS602	RCFDS603	RCFDS604	RCFDS605	RCFDS606	RCFDS607	RCFDS608	RCFDS609	RCFDS610	RCFDS611	RCFDS612	RCFDS613	RCFDS614	RCFDS615	RCFDS616	RCFDS617	RCFDS618	RCFDS619	RCFDS620	RCFDS621	RCFDS622	RCFDS623	RCON2170	RCON3123	RCON3128	RCONA222	RCONB704	RCOND957	RCOND958	RCOND959	RCOND960	RCOND961	RCOND962	RCOND963	RCOND964	RCOND965	RCOND967	RCOND968	RCOND969	RCOND970	RCOND971	RCOND972	RCOND973	RCOND974	RCOND976	RCOND977	RCOND978	RCOND979	RCOND980	RCOND981	RCOND982	RCOND983	RCOND984	RCOND985	RCOND987	RCOND988	RCOND989	RCOND990	RCOND991	RCOND992	RCOND993	RCOND994	RCOND995	RCOND996	RCOND997	RCOND998	RCOND999	RCONG603	RCONG604	RCONG605	RCONG606	RCONG607	RCONG608	RCONG609	RCONG610	RCONG611	RCONG612	RCONG613	RCONG614	RCONG615	RCONG616	RCONG617	RCONG618	RCONG619	RCONG620	RCONG621	RCONG622	RCONG623	RCONG624	RCONG625	RCONG626	RCONG627	RCONG628	RCONG629	RCONG630	RCONG631	RCONG632	RCONG633	RCONG634	RCONG635	RCONG636	RCONG637	RCONG641	RCONG642	RCONH171	RCONH172	RCONH173	RCONH174	RCONH175	RCONH176	RCONH177	RCONH178	RCONH179	RCONH180	RCONH181	RCONH182	RCONH185	RCONH186	RCONH187	RCONH188	RCONH191	RCONH193	RCONH194	RCONH195	RCONH196	RCONH197	RCONH198	RCONH199	RCONH200	RCONH271	RCONH272	RCONH273	RCONH274	
	ON-BALANCE SHEETTION METHODOLOGY	ON-BALANCE SHEETTION METHODOLOGY	TOTAL ON-BALANCEDARDIZED CHARGES	ON-BALANCE SHEETRTED IN COLUMN A	ON-BALANCE SHEETLCULATION METHOD	ON-BALANCE SHEETLCULATION METHOD	ON-BALANCE SHEETLCULATION METHOD	TOTAL ON-BALANCEZATION EXPOSURES	ON-BALANCE SHEETRTED IN COLUMN A	ON-BALANCE SHEETLCULATION METHOD	ON-BALANCE SHEETLCULATION METHOD	ON-BALANCE SHEETLCULATION METHOD	TOTAL OFF-BALANCZATION EXPOSURES	OFF-BALANCE SHEERTED IN COLUMN A	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	TOTAL BALANCE SHEET ASSETS - ARTED I	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	TOTAL BALANCE SHEET ASSETS - 2 WEIGH	TOTAL BALANCE SHEET ASSETS - 3 WEIGH	TOTAL BALANCE SHEET ASSETS - 4 WEIGH	TOTAL BALANCE SHEET ASSETS - 6 WEIGH	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	FINANCIAL STANDB WEIGHT CATEGORY	PERFORMANCE STAN WEIGHT CATEGORY	COMMERCIAL AND S WEIGHT CATEGORY	RETAINED RESOURC WEIGHT CATEGORY	REPO-STYLE TRANS OR OTHER AMOUNT	REPO-STYLE TRANSQUIVALENT AMOUNT	REPO-STYLE TRANS WEIGHT CATEGORY	REPO-STYLE TRANS WEIGHT CATEGORY	REPO-STYLE TRANS WEIGHT CATEGORY	REPO-STYLE TRANS WEIGHT CATEGORY	REPO-STYLE TRANS WEIGHT CATEGORY	REPO-STYLE TRANS WEIGHT CATEGORY	REPO-STYLE TRANS WEIGHT CATEGORY	ALL OTHER OFF- B WEIGHT CATEGORY	UNUSED COMMITMEN OR OTHER AMOUNT	UNUSED COMMITMENQUIVALENT AMOUNT	UNUSED COMMITMEN WEIGHT CATEGORY	UNUSED COMMITMEN WEIGHT CATEGORY	UNUSED COMMITMEN WEIGHT CATEGORY	UNUSED COMMITMEN WEIGHT CATEGORY	UNUSED COMMITMEN WEIGHT CATEGORY	UNUSED COMMITMEN WEIGHT CATEGORY	UNCONDITIONALLY  OR OTHER AMOUNT	UNCONDITIONALLY QUIVALENT AMOUNT	OVER-THE-COUNTERQUIVALENT AMOUNT	OVER-THE-COUNTER WEIGHT CATEGORY	OVER-THE-COUNTER WEIGHT CATEGORY	OVER-THE-COUNTER WEIGHT CATEGORY	OVER-THE-COUNTER WEIGHT CATEGORY	OVER-THE-COUNTER WEIGHT CATEGORY	OVER-THE-COUNTER WEIGHT CATEGORY	CENTRALLY CLEAREQUIVALENT AMOUNT	CENTRALLY CLEARE WEIGHT CATEGORY	CENTRALLY CLEARE WEIGHT CATEGORY	CENTRALLY CLEARE WEIGHT CATEGORY	CENTRALLY CLEARE WEIGHT CATEGORY	CENTRALLY CLEARE WEIGHT CATEGORY	CENTRALLY CLEARE WEIGHT CATEGORY	CENTRALLY CLEARE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	TOTAL ASSETS, DE WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RWA ALLL THRESHOLD	STANDARDIZED MARISK CAPITAL RULE	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	NOTIONAL PRINCIPONE YEAR OR LESS	NOTIONAL PRINCIPROUGH FIVE YEARS	NOTIONAL PRINCIP OVER FIVE YEARS	TOTAL ASSETS	ALLL_AMT	ALLOCATED TRANSFER RISK RESERVES	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RSK-WGHTD ASTS BEFORE DEDCTNS - 100%	TOTAL CASH AND BALANCES DUE FROM DEP	CASH AND BALANCES DUE FROM DEPOSITOR	CASH AND BALANCES DUE FROM DEPOSITOR	CASH AND BALANCES DUE FROM DEPOSITOR	TOTAL HELD-TO-MATURITY SECURITIES	HELD-TO-MATURITY SECURITIES	HELD-TO-MATURITY SECURITIES	HELD-TO-MATURITY SECURITIES	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	AVAILABLE-FOR-SALE SECURITIES	AVAILABLE-FOR-SALE SECURITIES	AVAILABLE-FOR-SALE SECURITIES	TOTAL FEDERAL FUNDS SOLD	FEDERAL FUNDS SOLD	FEDERAL FUNDS SOLD	FEDERAL FUNDS SOLD	TOTAL TRADING ASSETS	TRADING ASSETS	TRADING ASSETS	TRADING ASSETS	TRADING ASSETS	TOTAL ALL OTHER ASSETS	ALL OTHER ASSETS - 0 PCT RISK WEIGHT	ALL OTHER ASSETS - 20 PCT RISK WEIGH	ALL OTHER ASSETS - 50 PCT RISK WEIGH	ALL OTHER ASSETS - 100 PCT RISK WEIG	TOTAL BALANCE SHEET ASSETS - 0 PCT R	TOTAL BALANCE SHEET ASSETS - 20 PCT	TOTAL BALANCE SHEET ASSETS - 50 PCT	TOTAL BALANCE SHEET ASSETS - 100 PCT	FINANCIAL STANDBY LETTERS OF CREDIT	FINANCIAL STANDBY LETTERS OF CREDIT	FINANCIAL STANDBY LETTERS OF CREDIT	FINANCIAL STANDBY LETTERS OF CREDIT	FINANCIAL STANDBY LETTERS OF CREDIT	FINANCIAL STANDBY LETTERS OF CREDIT	PERFORMANCE STANDBY LETTERS OF CREDI	PERFORMANCE STANDBY LETTERS OF CREDI	PERFORMANCE STANDBY LETTERS OF CREDI	PERFORMANCE STANDBY LETTERS OF CREDI	PERFORMANCE STANDBY LETTERS OF CREDI	PERFORMANCE STANDBY LETTERS OF CREDI	COMMERCIAL AND SIMILAR LETTERS OF CR	COMMERCIAL AND SIMILAR LETTERS OF CR	COMMERCIAL AND SIMILAR LETTERS OF CR	COMMERCIAL AND SIMILAR LETTERS OF CR	COMMERCIAL AND SIMILAR LETTERS OF CR	COMMERCIAL AND SIMILAR LETTERS OF CR	RETAINED RESOURCE ON SMALL BUSINESS	RETAINED RESOURCE ON SMALL BUSINESS	RETAINED RESOURCE ON SMALL BUSINESS	RETAINED RESOURCE ON SMALL BUSINESS	RETAINED RESOURCE ON SMALL BUSINESS	RETAINED RESOURCE ON SMALL BUSINESS	ALL OTHER OFF- BALANCE SHEET LIABILI	ALL OTHER OFF- BALANCE SHEET LIABILI	ALL OTHER OFF- BALANCE SHEET LIABILI	ALL OTHER OFF- BALANCE SHEET LIABILI	ALL OTHER OFF- BALANCE SHEET LIABILI	ALL OTHER OFF- BALANCE SHEET LIABILI	UNUSED COMMITMENTS, ORIGINAL MATURIT	UNUSED COMMITMENTS, ORIGINAL MATURIT	UNUSED COMMITMENTS, ORIGINAL MATURIT	UNUSED COMMITMENTS, ORIGINAL MATURIT	UNUSED COMMITMENTS, ORIGINAL MATURIT	UNUSED COMMITMENTS, ORIGINAL MATURIT	TOTAL ASSETS, DERIVATIVES, AND OFF-B	TOTAL ASSETS, DERIVATIVES, AND OFF-B	TOTAL ASSETS, DERIVATIVES, AND OFF-B	TOTAL ASSETS, DERIVATIVES, AND OFF-B	RISK-WEIGHTED ASSETS BY RISK-WEIGHTE	RISK-WEIGHTED ASSETS BY RISK-WEIGHTE	RISK-WEIGHTED ASSETS BY RISK-WEIGHTE	RISK-WEIGHTED ASSETS BY RISK-WEIGHTE	TOTAL RISK-WEIGHTED ASSETS	CURRENT CREDIT EXPOSURE ACROSS ALL D	TOTALS FROM SCHEEMENTS TO RESELL	ADJUSTMENTS TO TEMENTS TO RESELL	ALLOCATION BY RIRTGAGE EXPOSURES	ALLOCATION BY RIESTATE EXPOSURES	ALLOCATION BY RIESTATE EXPOSURES	ALLOCATION BY RIESTATE EXPOSURES	ALLOCATION BY RIESTATE EXPOSURES	ALLOCATION BY RIRTGAGE EXPOSURES	ALLOCATION BY RIESTATE EXPOSURES	ALLOCATION BY RIESTATE EXPOSURES	ALLOCATION BY RIESTATE EXPOSURES	ALLOCATION BY RIESTATE EXPOSURES	ALLOCATION BY RIALL OTHER ASSETS	ALLOCATION BY RIARDIZED CHARGES)	ALLOCATION BY RIARDIZED CHARGES)	ALLOCATION BY RIALL OTHER ASSETS	TOTALS, UNSETTLE (FAILED TRADES)	ALLOCATION BY RI (FAILED TRADES)	ALLOCATION BY RI (FAILED TRADES)	ALLOCATION BY RI (FAILED TRADES)	ALLOCATION BY RI (FAILED TRADES)	ALLOCATION BY RI (FAILED TRADES)	ALLOCATION BY RI (FAILED TRADES)	ALLOCATION BY RI (FAILED TRADES)	ALLOCATION BY RI (FAILED TRADES)	TOTAL AVAILABLE-FOR-SALE SECURITIES	TOTAL AVAILABLE-FOR-SALE SECURITIES	LOANS AND LEASES WEIGHT CATEGORY	LOANS AND LEASES WEIGHT CATEGORY	
37																																																																																																																																		80558	956																																																																																																														
242																																																																																																																																		54405	179																																																																																																														
279																																																																																																																																		417610	2859																																																																																																														
354																																																																																																																																		57634	594																																																																																																														
457																																																																																																																																		72134	747	0	0	60517																																																																												60517																															
505																																																																																																																																		765513	7758	0	507	587470																																																																												586963																															
1155																																																																																																																																		460358	4686																																																																																																														
1351																																																																																																																																		208186	1255																																																																																																														
1454																																																																																																																																		980243	5759																																																																																																														
