"IDRSSD"	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
37																					
242																					
279																					
354																					
457																					
505																					
1155																					
1351																					
1454																					
1669																					
1856																					
2161																					
2732																					
2750																					
3252																					
3458																					
3720																					
3971	75641	353169	118562	215286	0	53655	816313	2179	2811	1253	2956	0	1468	0	10667	0	0	0	0	0	
4156																					
4231																					
5069																					
5135																					
5210	84340	898708	486236	148833	0	9871	1627988	2070	12010	3700	2048	0	141	0	19969	0	0	0	0	0	
5461																					
5751																					
6039																					
6329	239365	301974	275953	108302	0	471938	1397532	3252	2341	1598	2172	0	13654	27	23044	0	0	0	0	0	
7009																					
7045																					
7072																					
7456																					
7634																					
8462																					
8631																					
9357																					
9553																					
9807	361300	1129028	228645	28821	0	1003	1748797	4776	21307	2259	485	0	30	0	28857	0	0	0	0	0	
9955																					
10250																					
10849																					
11145																					
11640																					
11837																					
12030																					
12142																					
12311																					
12647																					
12946	251217	868731	433109	365981	2868	65155	1987061	2354	10559	6815	7829	174	1997	0	29728	0	0	0	0	0	
13103	119714	815389	939498	150542	0	318173	2343316	1618	11243	4418	2216	0	2906	0	22401	0	0	0	0	0	
13251																					
13457																					
14155																					
14650																					
14753																					
14865																					
14977																					
16551																					
17110																					
17147	957545	3718870	2906492	4734732	0	168388	12486027	24823	45003	35636	96393	0	3079	0	204934	245	0	0	0	245	
17259																					
17950																					
17978																					
18050																					
18827	147154	804682	437542	188814	0	211337	1789529	1427	10275	4184	2167	0	58	0	18111	0	0	0	0	0	
18836																					
18854	137206	540537	127382	548884	0	6829	1360838	1416	6882	1270	10006	0	117	0	19691	0	0	0	0	0	
19356																					
19936																					
19972																					
20053																					
20633																					
20857																					
21256																					
21359																					
21658																					
22048																					
22543																					
22552																					
22730																					
23456																					
23504	168513	4625283	4906939	1066938	0	5755	10773428	1989	26608	14050	28977	0	119	0	71743	0	0	0	0	0	
23643																					
23755																					
24006	56281	943957	255157	75268	0	104	1330767	1908	11075	1176	504	0	3	0	14666	0	0	0	0	0	
24378																					
24659																					
24949																					
25357																					
25647																					
26765	504049	1430642	412348	782451	0	8424	3137914	10017	20349	5002	10536	0	106	0	46010	23	0	0	0	23	
27070																					
27614																					
27847																					
28013	30967	3683034	326160	160908	0	2585	4203654	149	24737	5026	7617	0	6	0	37535	0	0	0	0	0	
28152																					
28675																					
28732																					
29476																					
29636	66942	331488	129055	84128	3377	7836	622826	561	2475	2634	585	156	140	0	6551	0	0	0	0	0	
29878	44001	999778	955855	0	0	34	1999668	190	8152	9075	0	0	1	0	17418	0	0	0	0	0	
30052																					
30502	27272	268486	514018	94030	0	16789	920595	424	3890	4305	865	0	1012	200	10696	0	0	0	0	0	
30650																					
30810																					
31134																					
31255																					
31657																					
31826																					
31835																					
32234																					
32766																					
32971																					
33147																					
33259	175655	455947	86794	92618	0	3528	814542	2052	6814	1064	1367	0	31	0	11328	0	0	0	0	0	
33370																					
33839																					
33857	152072	496089	273599	215299	0	11060	1148119	1674	5867	3023	2150	0	144	0	12858	0	0	0	0	0	
34434																					
34537	767621	4747630	2677442	1618641	26	251580	10062940	8637	50975	41808	34488	2	13021	0	148931	0	0	0	0	0	
34555																					
34742																					
35057																					
35301																					
35646																					
35879																					
36456																					
36933																					
37051																					
37341																					
37435	194564	266731	261421	73459	3402	69225	868802	5368	2107	4115	787	484	1024	1592	15477	0	0	0	0	0	
37640	333582	1969421	918254	682915	20351	46559	3971082	3554	23591	7727	8103	384	406	0	43765	0	0	0	0	0	
37659																					
37949																					
38740																					
39327																					
39756																					
40033																					
40499	209294	2305983	1719862	495366	0	19806	4750311	4302	21692	13321	8445	0	212	0	47972	0	0	0	0	0	
40855																					
41553																					
41629																					
41825																					
42037																					
42354																					
42372																					
42420	597735	3053152	2416876	1543349	10291	1347353	8968756	7418	37071	23901	27996	372	20960	0	117718	0	0	0	0	0	
42448	252822	732116	598683	282081	3949	48972	1918623	3236	7221	4909	5448	373	1670	444	23301	0	0	0	0	0	
42457																					
43052																					
43351																					
43856																					
43959																					
44040																					
44433																					
44741																					
44750																					
44929																					
45038																					
45047																					
45056																					
45430																					
45458																					
45551	58260	148955	135982	516724	512	25660	886093	250	3619	358	3809	0	240	0	8276	0	0	0	0	0	
45560	0	889083	720630	153328	0	25604	1788645	0	8732	5302	1804	0	350	-158	16030	0	0	0	0	0	
45775																					
46053																					
46941																					
47247																					
47500																					
48057																					
48150																					
48374	114634	945755	73004	166743	0	26303	1326439	727	8576	959	2242	0	194	544	13242	0	0	0	0	0	
48440																					
49054																					
49148																					
49241	85089	573265	113621	254023	0	5287	1031285	2084	6047	1307	2519	0	276	324	12557	0	0	0	0	0	
49652																					
49858																					
49951																					
50144																					
50461																					
51253																					
51356																					
51459																					
51842																					
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																					
53051																					
54058																					
54656	27722	106569	49698	89994	0	13606	287589	581	1331	697	1091	0	256	96	4052	0	0	0	0	0	
54973	189316	1370763	3627209	742118	0	251404	6180810	3646	22185	15834	9122	0	23585	0	74372	0	0	0	0	0	
55336																					
55635																					
55653																					
55970																					
56258																					
56351	381798	976614	904098	379617	0	113604	2755731	3158	13639	6465	7821	0	2152	0	33235	0	0	0	0	0	
56548																					
56717																					
57040																					
57451																					
58225																					
58243	411368	1247826	1971297	985195	17689	62523	4695898	6750	13209	27693	26034	498	1251	5677	81112	0	0	0	0	0	
58355																					
58551																					
58636																					
58757																					
58971	642578	2420858	1661287	1653100	15748	111830	6505401	28072	46721	29017	39569	902	1405	470	146156	0	0	0	0	0	
59316	51453	672075	318021	304050	0	264104	1609703	933	11871	1351	1360	0	3453	0	18968	0	0	0	0	0	
59352																					
59370																					
59754																					
60143																					
60330	82687	370616	167669	218811	0	13833	853616	3856	4575	1748	4045	0	250	13	14487	0	0	0	0	0	
60545																					
60554																					
60648																					
61122	77060	493703	499871	275052	0	60981	1406667	940	5120	6774	3724	0	922	0	17480	45	0	0	0	45	
61355	85740	450641	265931	209033	29334	21638	1062317	699	5151	1808	2190	7362	177	0	17387	0	0	0	0	0	
61476																					
61757																					
61832																					
61953																					
62044																					
62110																					
62147																					
63050																					
63069																					
63201																					
63573																					
63733	127212	354992	429861	84210	0	46513	1042788	1872	3828	3656	1064	0	761	158	11339	0	0	0	0	0	
64150																					
64552																					
64730																					
65205																					
65559	44531	203551	55434	137482	0	12175	453173	494	2254	615	1525	0	157	0	5045	0	0	0	0	0	
65858	218650	741445	409744	328625	0	54668	1753132	857	4310	339	1595	0	294	7541	14936	0	0	0	0	0	
66154																					
66275																					
67142																					
67151	158015	363146	83185	74877	0	6371	685594	4648	7095	1298	1429	0	63	831	15364	0	0	0	0	0	
67209	126842	528252	430773	197768	0	55985	1339620	2478	5543	1258	2173	0	1517	0	12969	0	0	0	0	0	
67254																					
67656	88537	638470	98203	64630	203116	11524	1104480	0	9954	4230	1071	58729	251	0	74235	0	0	0	0	0	
67870																					
68671																					
68756																					
68831																					
69333	92992	530433	288661	188024	0	15196	1115306	1862	4718	4690	3043	0	257	0	14570	0	0	0	0	0	
69678																					
70218																					
70414																					
70638																					
70955																					
71073																					
71457																					
71859																					
72258																					
72351																					
72454																					
72678																					
73116																					
73152																					
73554																					
73956																					
74056																					
74140	0	651830	356418	240686	0	100529	1349463	0	6039	4336	1077	0	1656	0	13108	0	0	0	0	0	
74403	66702	287088	478978	109315	0	223057	1165140	770	2989	1972	1684	0	3712	280	11407	0	0	0	0	0	
74449																					
75259																					
75446																					
75455																					
75633																					
75651																					
76153																					
76443																					
76854																					
77150																					
77253																					
77422																					
77851	470407	1415333	479604	1049015	9906	30167	3454432	4405	18310	3787	14967	96	154	0	41719	0	0	0	0	0	
78157																					
78241																					
78559																					
79042																					
79127																					
79145																					
79257																					
79855																					
80150																					
80374																					
80431																					
81175																					
82033																					
82257																					
82350																					
83151																					
83375	131601	389610	66049	255318	0	86650	929228	2021	10014	365	3201	0	451	23	16075	17	0	0	0	17	
83638																					
83834																					
83852																					
83955																					
84046																					
84541	235592	695436	270052	342864	1953	41877	1587774	3851	9427	1695	5581	0	652	0	21206	31	0	0	0	31	
85052																					
85472	738404	5405568	3329257	679257	0	51372	10203858	1225	31028	27814	6867	0	203	0	67137	39	106	0	987	1132	
85931																					
86349																					
86675	44663	308694	562887	8010	0	155	924409	911	1547	5981	64	0	12	0	8515	0	0	0	0	0	
87047																					
87234																					
87476																					
87579																					
88231	250717	308472	413435	37373	0	4672	1014669	4429	3016	4423	614	0	80	394	12956	0	0	0	0	0	
88259																					
88352																					
88455																					
88950																					
89032																					
89135																					
89854																					
89957																					
90047																					
90177																					
90328	53474	295263	400947	60329	0	7691	817704	910	2056	3167	490	0	116	0	6739	0	0	0	0	0	
90337																					
90579																					
91615																					
91754																					
91950																					
92144																					
92676																					
92706																					
92902																					
93244																					
93543																					
93619																					
94139																					
94522	154056	257258	409751	52455	2507	16200	892227	1283	2098	2925	353	28	315	0	7002	0	0	0	0	0	
94755																					
94858																					
95051																					
95677																					
96553																					
97055																					
97279																					
97457																					
97804																					
97943																					
98351																					
98463	30178	192397	28900	47155	0	1698	300328	480	2951	322	603	0	19	1231	5606	0	0	0	0	0	
98717																					
99143																					
99376	11182	293388	1532196	811440	0	58588	2706794	134	3540	10318	8912	0	1355	0	24259	0	0	0	0	0	
99442																					
99536	39091	444077	410255	40832	122	27276	961653	143	2340	1541	267	0	526	0	4817	0	0	0	0	0	
99853																					
100236																					
100357																					
100562	347198	4394802	1240251	739202	13	73004	6794470	8856	68864	24281	16349	2	3170	0	121522	0	0	0	0	0	
100777																					
100843																					
101037	102566	189336	502239	35841	2704	11379	844065	1919	3092	8398	628	47	70	934	15088	0	0	0	0	0	
101439																					
101671																					
101738																					
101952																					
102333																					
102342																					
102557																					
102874																					
103134																					
104234																					
104542																					
104971																					
105026																					
