"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
37						CONF	CONF			
242						CONF	CONF			
279						CONF	CONF			
354	8508	387				CONF	CONF			
457						CONF	CONF			
505						CONF	CONF			
1155						CONF	CONF			
1351						CONF	CONF			
1454						CONF	CONF			
1669						CONF	CONF			
1856						CONF	CONF			
2161						CONF	CONF			
2732						CONF	CONF			
2750						CONF	CONF			
3252						CONF	CONF			
3458						CONF	CONF			
3720						CONF	CONF			
3971						CONF	CONF			
4156						CONF	CONF			
4231						CONF	CONF			
5069						CONF	CONF			
5135						CONF	CONF			
5210						CONF	CONF			
5461						CONF	CONF			
5751						CONF	CONF			
6039						CONF	CONF			
6329	25767	1573	0	25054	0	CONF	CONF	0	870	
7009						CONF	CONF			
7045	0	0	0	0	0	CONF	CONF	0	0	
7072						CONF	CONF			
7456						CONF	CONF			
7634						CONF	CONF			
8462						CONF	CONF			
8631						CONF	CONF			
9357						CONF	CONF			
9553						CONF	CONF			
9807						CONF	CONF			
9955						CONF	CONF			
10250						CONF	CONF			
10849						CONF	CONF			
11145						CONF	CONF			
11640						CONF	CONF			
11837						CONF	CONF			
12030						CONF	CONF			
12142						CONF	CONF			
12311	1065670	514250	541043	421046	4863	CONF	CONF	9835	23395	
12647						CONF	CONF			
12946	6668	3248				CONF	CONF			
13103	180	0	180	0	0	CONF	CONF	0	2	
13251						CONF	CONF			
13457						CONF	CONF			
14155						CONF	CONF			
14650						CONF	CONF			
14753						CONF	CONF			
14865						CONF	CONF			
14977						CONF	CONF			
16551						CONF	CONF			
17110	0	0	0	0	0	CONF	CONF	0	0	
17147	151712	15019	108270	0	0	CONF	CONF	0	3652	
17259						CONF	CONF			
17950						CONF	CONF			
17978						CONF	CONF			
18050						CONF	CONF			
18827						CONF	CONF			
18836						CONF	CONF			
18854						CONF	CONF			
19356						CONF	CONF			
19936						CONF	CONF			
19972						CONF	CONF			
20053						CONF	CONF			
20633						CONF	CONF			
20857						CONF	CONF			
21256						CONF	CONF			
21359						CONF	CONF			
21658						CONF	CONF			
22048						CONF	CONF			
22543						CONF	CONF			
22552						CONF	CONF			
22730						CONF	CONF			
23456						CONF	CONF			
23504	1745	325	1779	0	0	CONF	CONF	0	12	
23643						CONF	CONF			
23755						CONF	CONF			
24006						CONF	CONF			
24378						CONF	CONF			
24659						CONF	CONF			
24949						CONF	CONF			
25357						CONF	CONF			
25647						CONF	CONF			
26765						CONF	CONF			
27070						CONF	CONF			
27614						CONF	CONF			
27847						CONF	CONF			
28013						CONF	CONF			
28152						CONF	CONF			
28675						CONF	CONF			
28732						CONF	CONF			
29476						CONF	CONF			
29636						CONF	CONF			
29878						CONF	CONF			
30052						CONF	CONF			
30502						CONF	CONF			
30650						CONF	CONF			
30810						CONF	CONF			
31134						CONF	CONF			
31255						CONF	CONF			
31657						CONF	CONF			
31826						CONF	CONF			
31835						CONF	CONF			
32234						CONF	CONF			
32766						CONF	CONF			
32971						CONF	CONF			
33147						CONF	CONF			
33259						CONF	CONF			
33370						CONF	CONF			
33839						CONF	CONF			
33857	4947	420	5367	0	0	CONF	CONF	0	51	
34434						CONF	CONF			
34537	12357	3020	13543	0	0	CONF	CONF	120	0	
34555						CONF	CONF			
34742	9416	1854				CONF	CONF			
35057	0	1747	0	0	0	CONF	CONF	0	0	
35301	0	0	0	0	0	CONF	CONF	0	0	
35646						CONF	CONF			
35879						CONF	CONF			
36456						CONF	CONF			
36933						CONF	CONF			
37051						CONF	CONF			
37341						CONF	CONF			
37435	4670	791				CONF	CONF			
37640	27032	5226	25173	0	270	CONF	CONF	0	556	
37659	0	0	0	0	0	CONF	CONF	0	0	
37949						CONF	CONF			
38740						CONF	CONF			
39327						CONF	CONF			
39756						CONF	CONF			
40033						CONF	CONF			
40499	100359	19686	100847	0	214	CONF	CONF	3207	1891	
40855						CONF	CONF			
41553						CONF	CONF			
41629						CONF	CONF			
41825	5950	1651	5950	0	0	CONF	CONF	0	255	
42037						CONF	CONF			
42354						CONF	CONF			
42372						CONF	CONF			
42420	43702	4739	38392	0	0	CONF	CONF	0	894	
42448	0	0	0	0	0	CONF	CONF	0	0	
42457						CONF	CONF			
43052						CONF	CONF			
43351						CONF	CONF			
43856						CONF	CONF			
43959						CONF	CONF			
44040						CONF	CONF			
44433						CONF	CONF			
44741						CONF	CONF			
44750						CONF	CONF			
44929						CONF	CONF			
45038	0	0	0	0	0	CONF	CONF	0	0	
45047						CONF	CONF			
45056						CONF	CONF			
45430						CONF	CONF			
45458						CONF	CONF			
45551						CONF	CONF			
45560	39555	2006	40509	0	0	CONF	CONF	0	79	
45775						CONF	CONF			
46053						CONF	CONF			
46941						CONF	CONF			
47247	72469	10928	66602	0	51	CONF	CONF	0	4025	
47500						CONF	CONF			
48057						CONF	CONF			
48150						CONF	CONF			
48374	19083	3650				CONF	CONF			
48440						CONF	CONF			
49054						CONF	CONF			
49148						CONF	CONF			
49241						CONF	CONF			
49652						CONF	CONF			
49858						CONF	CONF			
49951						CONF	CONF			
50144						CONF	CONF			
50461						CONF	CONF			
51253	0	0	0	0	0	CONF	CONF	0	0	
51356						CONF	CONF			
51459						CONF	CONF			
51842						CONF	CONF			
52719	0	0	0	0	0	CONF	CONF	0	0	
52951						CONF	CONF			
53051						CONF	CONF			
54058						CONF	CONF			
54656						CONF	CONF			
54973	13059	3900	14722	0	0	CONF	CONF	72	774	
55336						CONF	CONF			
55635						CONF	CONF			
55653						CONF	CONF			
55970						CONF	CONF			
56258						CONF	CONF			
56351						CONF	CONF			
56548						CONF	CONF			
56717						CONF	CONF			
57040						CONF	CONF			
57451						CONF	CONF			
58225						CONF	CONF			
58243	80998	5325	75806	0	316	CONF	CONF	500	1846	
58355						CONF	CONF			
58551						CONF	CONF			
58636						CONF	CONF			
58757						CONF	CONF			
58971	16002	4727	19118	0	0	CONF	CONF	0	209	
59316						CONF	CONF			
59352						CONF	CONF			
59370						CONF	CONF			
59754						CONF	CONF			
60143	12000	1000	11000	0	0	CONF	CONF	0	0	
60330	0	0	0	0	0	CONF	CONF	0	0	
60545						CONF	CONF			
60554						CONF	CONF			
60648						CONF	CONF			
61122	0	0	0	0	0	CONF	CONF	0	0	
61355	21207	1886				CONF	CONF			
61476						CONF	CONF			
61757						CONF	CONF			
61832						CONF	CONF			
61953						CONF	CONF			
62044						CONF	CONF			
62110						CONF	CONF			
62147						CONF	CONF			
63050						CONF	CONF			
63069						CONF	CONF			
63201						CONF	CONF			
63573						CONF	CONF			
63733	3454	142	3596	0	0	CONF	CONF	0	23	
64150	7481	295				CONF	CONF			
64552	30783	10019	10834	3455	0	CONF	CONF	0	-4	
64730						CONF	CONF			
65205						CONF	CONF			
65559	5415	989	6159	0	0	CONF	CONF	0	110	
65858						CONF	CONF			
66154						CONF	CONF			
66275						CONF	CONF			
67142						CONF	CONF			
67151						CONF	CONF			
67209						CONF	CONF			
67254						CONF	CONF			
67656						CONF	CONF			
67870						CONF	CONF			
68671						CONF	CONF			
68756						CONF	CONF			
68831						CONF	CONF			
